Iteration,schedules
1,"[(45, 7), (16, 5), (171, 12), (26, 8), (140, 11), (31, 13), (141, 15), (17, 12), (32, 12), (172, 5), (173, 4), (89, 2), (25, 9), (58, 8), (93, 3), (46, 13), (84, 9), (27, 6), (79, 15), (156, 11), (94, 4), (125, 8), (95, 1), (76, 1), (59, 12), (101, 1), (1, 11), (38, 6), (39, 5), (158, 5), (80, 3), (133, 8), (105, 4), (2, 13), (106, 15), (134, 6), (40, 11), (87, 10), (135, 7), (77, 6), (157, 15), (28, 15), (121, 10), (43, 2), (142, 2), (33, 15), (7, 9), (78, 10), (143, 6), (136, 15), (44, 1), (47, 7), (37, 11), (60, 11), (159, 5), (145, 9), (88, 8), (63, 11), (41, 14), (42, 4), (123, 11), (124, 12), (12, 7), (51, 9), (29, 13), (146, 2), (148, 3), (149, 9), (67, 6), (107, 12), (110, 13), (160, 15), (150, 11), (30, 15), (13, 5), (96, 6), (161, 14), (162, 12), (111, 1), (97, 12), (14, 9), (68, 2), (6, 5), (71, 7), (112, 6), (103, 12), (15, 12), (176, 14), (10, 14), (177, 11), (73, 6), (98, 5), (104, 7), (180, 13), (178, 15), (99, 11), (114, 14), (163, 11), (74, 7), (75, 4), (11, 13), (166, 13), (115, 5), (181, 12), (100, 14), (179, 12), (182, 1), (183, 8)]"
2,"[(171, 2), (125, 8), (133, 10), (134, 8), (43, 10), (45, 7), (156, 9), (46, 9), (84, 9), (1, 11), (101, 6), (58, 8), (7, 9), (121, 10), (76, 2), (123, 11), (33, 15), (140, 13), (47, 7), (135, 1), (151, 4), (51, 9), (172, 3), (77, 11), (89, 2), (26, 8), (78, 10), (64, 3), (152, 9), (87, 13), (88, 2), (158, 4), (124, 3), (157, 2), (159, 5), (153, 14), (31, 3), (27, 9), (32, 9), (103, 12), (44, 1), (104, 9), (154, 6), (38, 1), (12, 5), (79, 14), (16, 5), (65, 10), (173, 8), (83, 1), (13, 6), (3, 6), (39, 5), (66, 6), (14, 9), (160, 11), (67, 12), (8, 12), (9, 8), (93, 3), (40, 3), (161, 2), (176, 9), (17, 15), (136, 15), (28, 15), (18, 9), (41, 14), (29, 2), (11, 8), (42, 6), (30, 15), (155, 11), (68, 9), (69, 1), (177, 11), (162, 13), (35, 11), (94, 2), (95, 1), (15, 12), (36, 2), (180, 13), (4, 7), (181, 4), (5, 15), (70, 13), (96, 6), (97, 3), (98, 9), (75, 5), (178, 15), (179, 12), (182, 1), (105, 4), (106, 8), (163, 12), (166, 4), (99, 11), (100, 14), (6, 5), (183, 8), (107, 12), (110, 13), (111, 3), (112, 15), (113, 9), (115, 1)]"
3,"[(43, 10), (140, 4), (105, 4), (156, 11), (171, 2), (33, 15), (44, 15), (89, 2), (84, 15), (45, 7), (141, 7), (58, 7), (79, 15), (1, 11), (144, 10), (121, 10), (16, 5), (85, 13), (34, 9), (125, 3), (17, 15), (145, 9), (12, 5), (133, 8), (86, 12), (38, 1), (47, 7), (81, 12), (76, 2), (176, 14), (26, 12), (13, 6), (39, 15), (40, 3), (157, 2), (158, 3), (14, 9), (27, 9), (159, 1), (160, 15), (25, 5), (3, 6), (77, 6), (46, 9), (164, 4), (64, 3), (116, 10), (172, 3), (54, 11), (65, 5), (134, 8), (41, 8), (101, 6), (146, 10), (78, 10), (42, 6), (28, 15), (82, 4), (15, 12), (56, 8), (173, 4), (31, 3), (135, 7), (7, 9), (66, 2), (165, 11), (93, 3), (8, 12), (136, 2), (117, 10), (29, 2), (94, 4), (95, 1), (67, 12), (166, 3), (177, 11), (55, 6), (9, 2), (68, 2), (147, 2), (150, 12), (30, 15), (11, 8), (119, 13), (32, 5), (71, 7), (120, 14), (73, 14), (123, 11), (124, 12), (96, 6), (74, 5), (178, 15), (103, 12), (97, 3), (118, 13), (4, 7), (120, 14), (5, 2), (75, 5), (98, 5), (104, 9), (6, 5), (179, 12), (99, 7), (100, 14), (180, 13), (181, 12), (182, 11), (183, 8)]"
4,"[(79, 12), (47, 7), (45, 11), (158, 5), (171, 10), (84, 15), (81, 2), (51, 15), (172, 3), (125, 3), (82, 7), (167, 5), (176, 14), (58, 7), (105, 4), (173, 4), (33, 4), (168, 6), (101, 1), (43, 2), (44, 1), (12, 7), (13, 1), (140, 3), (7, 9), (169, 7), (14, 6), (16, 5), (156, 8), (35, 11), (121, 2), (170, 15), (177, 15), (102, 14), (151, 13), (1, 11), (104, 7), (87, 10), (116, 10), (180, 13), (181, 12), (174, 4), (152, 12), (133, 10), (36, 2), (153, 1), (122, 7), (154, 6), (38, 1), (8, 8), (46, 5), (76, 2), (9, 2), (155, 5), (39, 14), (117, 10), (135, 14), (11, 8), (40, 13), (41, 6), (157, 2), (77, 11), (15, 12), (88, 8), (42, 6), (26, 12), (119, 10), (124, 12), (134, 8), (27, 8), (17, 12), (136, 2), (89, 2), (78, 1), (21, 8), (3, 6), (178, 15), (31, 13), (28, 14), (32, 10), (4, 7), (22, 3), (5, 15), (93, 3), (94, 5), (64, 3), (95, 10), (65, 10), (66, 2), (120, 14), (67, 13), (68, 2), (6, 4), (179, 12), (29, 2), (96, 6), (97, 3), (182, 5), (30, 6), (98, 9), (99, 11), (100, 15), (118, 14), (69, 8), (120, 14), (70, 14), (75, 5), (183, 8)]"
5,"[(176, 9), (140, 3), (33, 4), (141, 12), (177, 15), (121, 10), (158, 5), (34, 5), (159, 5), (180, 13), (45, 14), (160, 15), (178, 15), (26, 12), (79, 14), (84, 9), (87, 13), (125, 13), (89, 2), (58, 8), (181, 12), (156, 11), (16, 5), (122, 5), (1, 1), (81, 2), (126, 1), (47, 4), (171, 2), (12, 7), (161, 2), (90, 12), (124, 12), (31, 3), (82, 7), (38, 6), (142, 2), (52, 7), (39, 15), (88, 6), (53, 9), (128, 13), (32, 5), (162, 12), (27, 10), (43, 2), (46, 13), (76, 2), (40, 5), (172, 13), (41, 6), (3, 6), (44, 15), (64, 3), (105, 4), (101, 1), (13, 6), (116, 10), (157, 15), (143, 6), (77, 11), (4, 7), (28, 14), (17, 15), (42, 4), (5, 2), (23, 7), (119, 10), (6, 4), (179, 12), (14, 6), (145, 9), (182, 11), (146, 10), (148, 7), (78, 1), (120, 14), (91, 9), (127, 15), (149, 9), (92, 11), (95, 1), (96, 6), (97, 12), (24, 8), (150, 11), (103, 12), (15, 1), (129, 9), (117, 10), (118, 14), (65, 5), (104, 7), (7, 9), (163, 12), (66, 1), (173, 13), (67, 12), (98, 5), (166, 3), (120, 14), (10, 14), (68, 9), (183, 8), (11, 8), (71, 7), (29, 13), (30, 1), (73, 6), (99, 7), (74, 5), (75, 4), (100, 14)]"
6,"[(156, 9), (45, 7), (140, 10), (47, 4), (1, 1), (141, 12), (157, 2), (101, 2), (16, 5), (58, 7), (33, 15), (158, 11), (167, 4), (144, 6), (168, 11), (125, 3), (103, 12), (17, 15), (176, 9), (2, 13), (79, 15), (84, 12), (6, 4), (171, 8), (43, 2), (44, 1), (172, 5), (104, 9), (26, 8), (38, 1), (27, 9), (7, 9), (121, 2), (54, 10), (173, 8), (145, 9), (146, 12), (148, 3), (83, 9), (31, 3), (46, 5), (149, 5), (32, 5), (169, 6), (177, 11), (12, 7), (138, 13), (150, 12), (139, 13), (180, 13), (181, 4), (39, 14), (89, 2), (178, 15), (14, 6), (28, 14), (29, 13), (35, 15), (85, 13), (8, 8), (170, 13), (174, 3), (40, 13), (93, 3), (105, 4), (30, 6), (13, 6), (76, 2), (56, 2), (36, 2), (9, 8), (41, 14), (122, 5), (77, 11), (124, 12), (18, 9), (42, 6), (78, 10), (106, 15), (179, 12), (11, 8), (55, 4), (182, 1), (86, 12), (94, 5), (95, 1), (15, 1), (183, 8), (96, 6), (97, 3), (98, 9), (99, 11), (100, 15), (64, 3), (65, 10), (66, 1), (67, 13), (68, 2), (69, 1), (107, 12), (110, 13), (70, 14), (75, 13), (111, 3), (112, 6), (113, 9), (115, 1)]"
7,"[(156, 9), (26, 10), (43, 10), (33, 4), (158, 11), (44, 15), (45, 11), (58, 8), (37, 13), (47, 7), (27, 10), (16, 5), (125, 8), (31, 13), (167, 4), (12, 5), (28, 15), (32, 12), (84, 15), (171, 10), (87, 13), (172, 3), (13, 1), (76, 2), (101, 6), (168, 6), (138, 13), (105, 4), (14, 3), (140, 3), (116, 3), (59, 8), (117, 10), (119, 10), (77, 6), (139, 11), (141, 12), (17, 15), (7, 9), (8, 12), (29, 2), (144, 6), (118, 14), (89, 2), (9, 2), (169, 6), (88, 6), (173, 8), (15, 12), (145, 12), (46, 9), (18, 9), (176, 14), (177, 11), (78, 10), (170, 14), (11, 13), (157, 15), (174, 7), (48, 14), (1, 1), (146, 2), (49, 6), (61, 7), (50, 12), (30, 6), (62, 9), (103, 12), (2, 13), (104, 9), (121, 10), (6, 5), (63, 13), (148, 6), (79, 12), (180, 13), (149, 2), (67, 12), (150, 12), (120, 14), (181, 4), (83, 9), (178, 15), (38, 6), (39, 5), (40, 12), (41, 8), (179, 12), (68, 2), (182, 11), (42, 6), (90, 12), (91, 9), (71, 7), (73, 6), (123, 11), (74, 7), (75, 13), (92, 11), (124, 12), (95, 1), (96, 6), (183, 8), (97, 12), (98, 9), (99, 11), (100, 14)]"
8,"[(158, 4), (101, 6), (45, 7), (156, 11), (79, 12), (1, 11), (140, 11), (103, 12), (84, 12), (12, 5), (46, 5), (121, 10), (43, 2), (125, 6), (13, 5), (151, 4), (171, 8), (26, 12), (27, 8), (152, 12), (105, 4), (44, 15), (28, 15), (89, 2), (83, 1), (38, 6), (106, 15), (176, 14), (133, 4), (16, 5), (17, 15), (33, 14), (31, 3), (135, 7), (39, 14), (153, 1), (32, 10), (172, 5), (90, 12), (19, 8), (154, 13), (173, 8), (14, 6), (134, 8), (136, 15), (29, 13), (2, 13), (157, 2), (20, 14), (177, 15), (40, 11), (34, 9), (58, 8), (159, 5), (6, 4), (178, 15), (87, 13), (180, 13), (88, 2), (30, 1), (160, 15), (164, 10), (41, 8), (42, 6), (47, 4), (181, 12), (7, 9), (59, 12), (91, 9), (54, 11), (165, 6), (104, 7), (107, 12), (60, 15), (108, 4), (166, 13), (8, 12), (9, 2), (76, 1), (15, 1), (11, 13), (55, 4), (77, 6), (109, 11), (155, 5), (78, 1), (92, 11), (63, 4), (95, 1), (67, 6), (111, 3), (56, 8), (112, 15), (68, 9), (123, 11), (71, 7), (124, 12), (73, 6), (74, 4), (75, 13), (113, 9), (179, 12), (182, 1), (115, 8), (96, 6), (97, 3), (98, 5), (183, 8), (99, 7), (100, 15)]"
9,"[(33, 14), (45, 11), (101, 1), (12, 7), (34, 9), (13, 5), (43, 10), (140, 3), (84, 12), (156, 8), (151, 6), (1, 11), (79, 14), (176, 14), (14, 3), (152, 10), (125, 13), (171, 12), (133, 4), (38, 6), (46, 13), (177, 11), (44, 1), (15, 1), (39, 15), (47, 7), (16, 5), (172, 5), (26, 10), (48, 14), (135, 7), (27, 10), (40, 11), (89, 2), (85, 13), (178, 15), (41, 8), (7, 9), (81, 8), (102, 10), (157, 15), (86, 12), (180, 13), (31, 13), (181, 12), (153, 13), (49, 8), (158, 5), (42, 3), (173, 8), (17, 15), (23, 10), (28, 14), (24, 8), (104, 9), (159, 15), (32, 10), (82, 7), (90, 8), (121, 2), (122, 5), (58, 8), (29, 13), (134, 8), (154, 3), (179, 12), (160, 15), (3, 6), (50, 2), (155, 14), (105, 4), (124, 3), (116, 10), (30, 6), (76, 1), (77, 5), (161, 14), (182, 1), (117, 10), (136, 5), (162, 14), (163, 11), (119, 10), (166, 3), (120, 14), (4, 7), (118, 14), (78, 1), (120, 14), (5, 2), (64, 3), (65, 5), (66, 6), (10, 14), (183, 8), (67, 13), (11, 8), (91, 9), (92, 5), (68, 9), (95, 1), (71, 7), (96, 6), (6, 5), (72, 8), (74, 7), (97, 12), (75, 5), (98, 5), (99, 11), (100, 15)]"
10,"[(156, 8), (7, 9), (10, 14), (140, 11), (26, 8), (33, 4), (125, 6), (12, 7), (171, 2), (1, 11), (79, 14), (84, 15), (130, 6), (14, 3), (3, 6), (58, 7), (176, 14), (13, 5), (105, 4), (141, 12), (172, 13), (45, 9), (158, 3), (27, 9), (83, 9), (131, 15), (101, 1), (4, 7), (43, 2), (16, 5), (15, 1), (142, 2), (64, 3), (34, 9), (44, 14), (31, 12), (5, 15), (38, 1), (76, 2), (32, 10), (143, 15), (145, 1), (46, 5), (39, 15), (17, 15), (28, 15), (77, 6), (40, 12), (11, 8), (167, 8), (41, 14), (78, 1), (87, 15), (168, 15), (88, 4), (132, 1), (146, 8), (25, 5), (103, 12), (121, 2), (106, 8), (173, 8), (6, 4), (104, 7), (42, 4), (169, 9), (65, 10), (66, 2), (89, 2), (67, 6), (170, 14), (29, 13), (174, 14), (148, 6), (47, 7), (30, 15), (51, 15), (107, 12), (68, 2), (157, 2), (71, 11), (90, 8), (149, 5), (150, 11), (177, 15), (110, 4), (73, 14), (178, 15), (74, 4), (91, 9), (75, 13), (111, 3), (92, 5), (112, 15), (95, 10), (114, 5), (115, 1), (96, 6), (97, 12), (179, 12), (180, 13), (181, 4), (182, 1), (123, 11), (98, 5), (99, 7), (124, 3), (100, 15), (183, 8)]"
