Iteration,schedules
1,"[(107, 8), (108, 1), (134, 6), (135, 3), (160, 15), (144, 14), (148, 5), (154, 5), (105, 9), (168, 2), (170, 11), (171, 15), (172, 6), (40, 4), (41, 8), (42, 12), (45, 13), (46, 3), (47, 6), (48, 9), (50, 1), (122, 10), (123, 10), (127, 13), (128, 11), (1, 1), (7, 7), (14, 12), (15, 2), (16, 10), (29, 3), (73, 8), (89, 13), (90, 7), (93, 8), (94, 9), (95, 2), (97, 9), (98, 1), (99, 10), (22, 1), (34, 2), (35, 8), (36, 9), (56, 2), (57, 7), (17, 11), (139, 10), (140, 1), (141, 9), (149, 9), (152, 10), (153, 8), (78, 7), (88, 15), (60, 4), (69, 4), (70, 14), (71, 6), (72, 14), (2, 5), (133, 8), (39, 13), (3, 4), (26, 15), (23, 8), (138, 2), (106, 15), (24, 5), (25, 12), (109, 14), (18, 6), (155, 9), (156, 4), (59, 3), (30, 6), (27, 2), (4, 10), (28, 11), (31, 4), (32, 7), (33, 10), (5, 6), (161, 10), (162, 2), (163, 14), (164, 6), (167, 10), (74, 5), (6, 3), (19, 7), (143, 11), (20, 14), (110, 15), (75, 13), (111, 10), (21, 3), (157, 12), (76, 3), (158, 1), (159, 5), (77, 7)]"
2,"[(144, 15), (148, 5), (105, 8), (34, 3), (35, 1), (36, 9), (154, 5), (149, 12), (150, 13), (151, 5), (40, 4), (41, 15), (42, 12), (45, 13), (46, 3), (47, 6), (49, 5), (50, 1), (60, 11), (69, 8), (70, 14), (71, 6), (72, 14), (160, 6), (56, 10), (58, 11), (1, 1), (22, 1), (168, 2), (181, 6), (122, 10), (129, 9), (131, 15), (132, 1), (134, 6), (136, 8), (137, 1), (89, 3), (100, 6), (101, 10), (102, 6), (103, 4), (104, 14), (7, 7), (12, 8), (13, 6), (78, 7), (88, 12), (29, 3), (73, 12), (107, 13), (119, 1), (17, 15), (139, 2), (142, 3), (138, 2), (133, 8), (5, 8), (161, 10), (165, 4), (166, 7), (157, 7), (167, 10), (2, 5), (59, 12), (26, 15), (106, 2), (6, 3), (18, 6), (27, 13), (19, 8), (23, 15), (143, 11), (30, 14), (31, 4), (3, 4), (39, 13), (158, 1), (32, 7), (76, 3), (21, 3), (24, 5), (4, 12), (25, 12), (155, 8), (28, 11), (74, 5), (33, 10), (75, 13), (156, 4), (159, 5), (20, 14), (77, 10), (76, 2), (21, 3)]"
3,"[(17, 15), (144, 14), (145, 3), (56, 10), (57, 7), (73, 8), (160, 6), (107, 13), (115, 4), (1, 1), (149, 12), (152, 13), (153, 8), (78, 4), (88, 15), (89, 11), (90, 5), (91, 7), (92, 3), (94, 9), (95, 2), (96, 2), (99, 10), (154, 5), (40, 4), (51, 3), (60, 11), (69, 8), (70, 14), (71, 6), (72, 14), (7, 7), (8, 14), (9, 3), (10, 7), (11, 1), (139, 2), (140, 1), (141, 9), (105, 9), (134, 6), (136, 8), (137, 1), (34, 3), (35, 8), (36, 9), (168, 2), (170, 11), (171, 15), (172, 6), (22, 1), (29, 12), (122, 10), (129, 9), (130, 2), (132, 1), (52, 10), (116, 6), (26, 15), (54, 13), (55, 14), (30, 14), (138, 2), (161, 10), (162, 13), (163, 14), (164, 6), (31, 4), (32, 7), (133, 8), (33, 10), (27, 13), (39, 5), (4, 12), (2, 5), (143, 11), (117, 1), (53, 14), (55, 14), (23, 8), (157, 12), (167, 10), (3, 4), (24, 5), (18, 2), (76, 3), (106, 15), (77, 3), (59, 12), (25, 12), (21, 5), (5, 13), (6, 3), (118, 2), (19, 8), (158, 1), (28, 11), (74, 3), (20, 14), (21, 3), (75, 13), (155, 8), (76, 3), (156, 4), (159, 5)]"
4,"[(134, 6), (135, 3), (29, 3), (107, 8), (108, 1), (122, 11), (129, 9), (131, 15), (132, 1), (56, 10), (58, 11), (144, 15), (146, 12), (147, 7), (154, 5), (89, 4), (90, 7), (91, 7), (92, 3), (94, 9), (95, 2), (97, 9), (98, 1), (99, 10), (149, 12), (150, 13), (151, 5), (73, 2), (139, 2), (140, 6), (141, 9), (60, 5), (61, 3), (62, 15), (63, 14), (64, 13), (65, 11), (68, 4), (7, 7), (8, 14), (9, 3), (10, 7), (11, 1), (105, 9), (34, 2), (37, 7), (38, 12), (22, 1), (78, 7), (79, 14), (17, 13), (40, 4), (51, 3), (160, 15), (1, 1), (168, 6), (173, 12), (174, 3), (106, 2), (26, 15), (133, 8), (23, 8), (138, 2), (18, 6), (30, 6), (31, 4), (39, 13), (4, 10), (52, 10), (2, 5), (3, 4), (59, 3), (161, 10), (162, 2), (163, 14), (164, 6), (32, 7), (110, 14), (24, 5), (27, 2), (143, 11), (25, 12), (28, 11), (54, 13), (55, 14), (53, 13), (55, 14), (167, 10), (21, 3), (81, 2), (5, 6), (109, 14), (33, 6), (6, 3), (74, 5), (80, 6), (155, 8), (156, 4), (19, 8), (77, 7), (111, 10), (20, 2), (75, 8), (76, 3), (157, 12), (21, 5), (158, 1), (159, 5), (77, 7)]"
5,"[(134, 6), (136, 8), (137, 1), (60, 4), (69, 4), (70, 14), (71, 6), (72, 14), (22, 11), (160, 15), (34, 3), (35, 1), (36, 9), (56, 10), (58, 11), (149, 12), (150, 13), (151, 5), (78, 7), (79, 14), (105, 8), (107, 8), (112, 3), (113, 12), (114, 1), (1, 1), (168, 2), (181, 9), (144, 12), (145, 3), (122, 10), (129, 5), (130, 2), (132, 1), (40, 4), (51, 10), (17, 15), (154, 5), (73, 2), (7, 7), (12, 2), (13, 6), (29, 3), (139, 2), (142, 3), (89, 11), (100, 13), (101, 12), (102, 6), (103, 4), (104, 14), (59, 12), (138, 2), (26, 15), (54, 10), (55, 14), (106, 15), (161, 15), (162, 13), (163, 15), (164, 6), (143, 11), (2, 5), (133, 8), (74, 5), (52, 10), (27, 2), (155, 8), (167, 10), (39, 9), (157, 9), (156, 4), (23, 8), (3, 2), (158, 7), (4, 11), (21, 5), (30, 14), (31, 4), (32, 7), (53, 13), (55, 14), (24, 5), (81, 14), (33, 10), (25, 12), (18, 6), (19, 8), (75, 13), (5, 8), (76, 3), (6, 3), (159, 1), (20, 2), (80, 8), (28, 11), (77, 14), (21, 3)]"
6,"[(105, 8), (122, 11), (123, 10), (124, 4), (125, 12), (126, 7), (128, 11), (160, 6), (56, 10), (58, 11), (34, 3), (35, 1), (36, 9), (134, 6), (136, 8), (137, 1), (89, 4), (100, 6), (101, 10), (102, 6), (103, 4), (104, 14), (7, 7), (14, 12), (15, 3), (16, 10), (73, 12), (149, 9), (152, 10), (153, 8), (29, 12), (144, 15), (145, 3), (107, 13), (108, 8), (17, 15), (1, 1), (78, 7), (79, 14), (154, 5), (139, 2), (142, 3), (22, 1), (168, 2), (175, 5), (176, 4), (177, 9), (60, 11), (69, 8), (70, 14), (71, 6), (72, 14), (40, 4), (41, 15), (42, 12), (45, 13), (46, 3), (47, 6), (49, 5), (50, 1), (161, 15), (162, 2), (163, 15), (164, 11), (2, 5), (138, 2), (133, 8), (39, 13), (110, 15), (26, 15), (27, 2), (18, 2), (59, 12), (106, 2), (30, 6), (143, 11), (4, 10), (31, 4), (5, 13), (21, 3), (155, 8), (32, 7), (76, 2), (156, 4), (23, 15), (3, 4), (6, 3), (109, 4), (111, 10), (33, 10), (24, 5), (81, 2), (25, 12), (167, 10), (74, 5), (80, 6), (157, 7), (19, 8), (77, 7), (20, 14), (28, 11), (75, 13), (158, 1), (159, 5), (76, 3), (21, 3)]"
7,"[(139, 2), (140, 1), (141, 9), (122, 11), (129, 9), (130, 2), (132, 1), (17, 15), (89, 10), (100, 6), (101, 10), (102, 6), (103, 4), (104, 14), (105, 8), (1, 3), (160, 6), (40, 4), (41, 15), (42, 12), (43, 4), (44, 2), (46, 3), (47, 6), (48, 9), (50, 1), (107, 13), (108, 1), (60, 5), (69, 8), (70, 14), (71, 6), (72, 14), (168, 2), (170, 11), (171, 15), (172, 6), (73, 12), (149, 9), (152, 10), (153, 8), (144, 14), (146, 12), (147, 7), (78, 7), (85, 13), (34, 3), (35, 1), (36, 9), (134, 6), (136, 5), (137, 1), (22, 1), (7, 7), (8, 14), (9, 3), (10, 7), (11, 1), (29, 12), (154, 8), (56, 10), (58, 11), (2, 7), (26, 15), (138, 2), (30, 6), (106, 15), (87, 8), (39, 13), (31, 4), (59, 12), (27, 2), (133, 8), (21, 3), (32, 7), (161, 10), (165, 4), (166, 7), (23, 15), (167, 10), (3, 4), (110, 15), (24, 5), (25, 12), (28, 11), (18, 6), (33, 10), (155, 8), (156, 4), (157, 9), (4, 12), (86, 6), (158, 1), (74, 5), (19, 7), (109, 14), (75, 13), (111, 10), (20, 14), (159, 5), (21, 3), (5, 13), (143, 14), (6, 3), (76, 3), (77, 7)]"
8,"[(139, 2), (142, 3), (144, 15), (145, 13), (160, 6), (154, 5), (17, 11), (168, 2), (170, 11), (171, 15), (172, 6), (122, 10), (129, 9), (130, 2), (132, 1), (60, 4), (69, 4), (70, 14), (71, 6), (72, 14), (34, 3), (37, 7), (38, 12), (73, 8), (22, 1), (105, 9), (7, 7), (8, 15), (9, 3), (10, 7), (11, 1), (1, 5), (78, 7), (88, 15), (107, 8), (112, 6), (113, 12), (114, 1), (89, 13), (100, 13), (101, 10), (102, 6), (103, 4), (104, 14), (40, 4), (51, 3), (149, 12), (152, 10), (153, 8), (29, 12), (134, 6), (136, 5), (137, 1), (56, 10), (58, 11), (23, 8), (24, 5), (26, 15), (52, 10), (18, 2), (138, 2), (25, 12), (19, 8), (161, 15), (165, 4), (166, 7), (54, 13), (55, 14), (106, 2), (30, 6), (157, 9), (133, 4), (31, 4), (2, 5), (32, 7), (33, 10), (27, 13), (3, 4), (158, 7), (53, 13), (55, 14), (28, 11), (20, 14), (21, 3), (74, 5), (59, 3), (143, 14), (167, 12), (75, 8), (5, 8), (39, 5), (4, 12), (155, 15), (156, 4), (76, 3), (6, 3), (159, 5), (77, 7)]"
9,"[(22, 11), (105, 8), (154, 5), (73, 12), (1, 1), (78, 4), (79, 14), (60, 3), (61, 3), (62, 15), (63, 14), (64, 13), (65, 11), (68, 4), (144, 15), (146, 12), (147, 7), (139, 2), (142, 12), (40, 4), (51, 3), (89, 10), (90, 7), (91, 7), (92, 3), (94, 9), (95, 2), (96, 2), (99, 10), (160, 6), (34, 2), (37, 7), (38, 12), (107, 13), (120, 13), (121, 8), (149, 9), (150, 13), (151, 5), (17, 15), (122, 11), (123, 10), (127, 13), (128, 11), (56, 10), (57, 7), (29, 12), (168, 6), (181, 6), (7, 7), (8, 14), (9, 3), (10, 7), (11, 1), (134, 6), (135, 3), (138, 2), (26, 15), (30, 6), (54, 10), (55, 14), (106, 2), (161, 10), (165, 4), (166, 7), (52, 10), (2, 5), (133, 8), (81, 14), (74, 13), (59, 12), (18, 6), (53, 14), (55, 14), (21, 3), (31, 4), (32, 7), (23, 8), (24, 5), (19, 7), (80, 7), (25, 12), (33, 10), (157, 9), (39, 5), (158, 1), (3, 4), (143, 14), (20, 14), (77, 7), (167, 10), (5, 13), (75, 13), (27, 2), (21, 3), (4, 12), (6, 3), (28, 11), (76, 3), (155, 8), (156, 4), (77, 7), (159, 5)]"
10,"[(154, 5), (60, 4), (61, 3), (62, 15), (63, 14), (64, 13), (65, 11), (68, 4), (56, 10), (58, 11), (149, 12), (152, 13), (153, 8), (7, 7), (12, 2), (13, 6), (144, 15), (145, 3), (40, 4), (51, 3), (1, 1), (160, 11), (105, 8), (17, 15), (139, 2), (142, 12), (29, 3), (89, 10), (100, 6), (101, 10), (102, 6), (103, 6), (104, 14), (122, 11), (129, 9), (131, 15), (132, 1), (34, 2), (35, 1), (36, 9), (134, 6), (136, 8), (137, 1), (73, 12), (168, 6), (179, 1), (180, 2), (22, 1), (78, 7), (88, 7), (107, 8), (120, 13), (121, 8), (26, 15), (27, 2), (138, 2), (59, 3), (39, 13), (157, 9), (133, 8), (54, 10), (55, 14), (23, 8), (24, 5), (52, 10), (5, 8), (30, 6), (31, 4), (106, 2), (25, 12), (32, 7), (6, 3), (33, 10), (4, 12), (161, 10), (165, 4), (166, 7), (158, 1), (28, 11), (18, 6), (53, 14), (55, 14), (19, 8), (143, 14), (77, 7), (167, 10), (2, 5), (155, 9), (156, 4), (3, 4), (21, 5), (74, 5), (75, 13), (159, 5), (20, 14), (21, 3), (76, 2), (77, 7)]"
