Iteration,Makespan
1,891.0
2,770.4
3,654.3
4,830.3
5,874.0999999999999
6,769.0999999999999
7,805
8,746.8
9,719.0
10,781.8
11,919
12,629.0
13,861.9
14,790.6
15,868.9
16,541.2
17,731.5999999999999
18,843.5999999999999
19,772.3
20,788.5
21,784.4999999999999
22,425.8
23,666.8
24,635.5999999999999
25,650
26,686.8
27,792.8
28,658.5
29,859.8999999999999
30,628.4999999999999
31,891.6
32,805.3
33,718.6
34,789.8000000000001
35,616.1
36,700.6
37,786.4999999999999
38,898.5
39,771.6
40,599.5
41,874.4999999999999
42,797.3999999999999
43,830.5
44,794.9000000000001
45,539.7
46,864.3
47,795.6999999999999
48,637.1
49,699.0
50,652.4999999999999
